Табельный номер,ФИО исполнителя,Ангар,Дата,Номер заказа,Заказчик,ИД номер заказчика,Тип услуги,Марка автомобиля,Модель автомобиля,Тип работ,Стоимость деталей (руб),Стоимость работы (руб),Общая стоимость (руб)
001,Иванов И.И.,1,2023-01-01,1001,Петров П.П.,00101,Техническое обслуживание,Toyota,Corolla,Замена масла,500.00,1000.00,1500.00
002,Петров П.П.,2,2023-01-02,1002,Сидоров С.С.,00102,Ремонт,Hyundai,Solaris,Замена тормозных колодок,1200.00,1500.00,2700.00
003,Сидоров С.С.,3,2023-01-03,1003,Кузнецов К.К.,00103,Техническое обслуживание,Ford,Focus,Замена фильтра,300.00,500.00,800.00
004,Кузнецов К.К.,4,2023-01-04,1004,Морозов М.М.,00104,Ремонт,BMW,3 Series,Ремонт двигателя,5000.00,4000.00,9000.00
001,Иванов И.И.,1,2023-01-05,1005,Лебедев Л.Л.,00105,Техническое обслуживание,Mercedes,C-Class,Замена свечей,800.00,700.00,1500.00
002,Петров П.П.,2,2023-01-06,1006,Егоров Е.Е.,00106,Ремонт,Volkswagen,Polo,Замена ремня ГРМ,1500.00,2000.00,3500.00
003,Сидоров С.С.,3,2023-01-07,1007,Романов Р.Р.,00107,Техническое обслуживание,Nissan,Almera,Замена антифриза,600.00,400.00,1000.00
004,Кузнецов К.К.,4,2023-01-08,1008,Осипов О.О.,00108,Ремонт,Skoda,Octavia,Ремонт подвески,3000.00,2500.00,5500.00
001,Иванов И.И.,1,2023-01-09,1009,Зайцев З.З.,00109,Техническое обслуживание,Opel,Astra,Замена масла,450.00,950.00,1400.00
002,Петров П.П.,2,2023-01-10,1010,Баранов Б.Б.,00110,Ремонт,Citroen,C4,Замена аккумулятора,4000.00,500.00,4500.00
003,Сидоров С.С.,3,2023-01-11,1011,Гусев Г.Г.,00111,Техническое обслуживание,Peugeot,308,Замена свечей,700.00,650.00,1350.00
004,Кузнецов К.К.,4,2023-01-12,1012,Котов К.К.,00112,Ремонт,Renault,Megane,Ремонт трансмиссии,6000.00,4500.00,10500.00
001,Иванов И.И.,1,2023-01-13,1013,Федоров Ф.Ф.,00113,Техническое обслуживание,Mazda,6,Замена фильтра,320.00,520.00,840.00
002,Петров П.П.,2,2023-01-14,1014,Михайлов М.М.,00114,Ремонт,Honda,Civic,Замена ремня ГРМ,1550.00,2050.00,3600.00
003,Сидоров С.С.,3,2023-01-15,1015,Беляев Б.Б.,00115,Техническое обслуживание,Subaru,Impreza,Замена масла,520.00,1020.00,1540.00
004,Кузнецов К.К.,4,2023-01-16,1016,Николаев Н.Н.,00116,Ремонт,Kia,Ceed,Ремонт тормозной системы,2500.00,2000.00,4500.00
001,Иванов И.И.,1,2023-01-17,1017,Сергеев С.С.,00117,Техническое обслуживание,Audi,A4,Замена масла,550.00,1050.00,1600.00
002,Петров П.П.,2,2023-01-18,1018,Алексеев А.А.,00118,Ремонт,Volvo,S60,Замена рулевой рейки,6500.00,3000.00,9500.00
003,Сидоров С.С.,3,2023-01-19,1019,Леонов Л.Л.,00119,Техническое обслуживание,Lexus,IS,Замена фильтра,350.00,550.00,900.00
004,Кузнецов К.К.,4,2023-01-20,1020,Захаров З.З.,00120,Ремонт,Mitsubishi,Lancer,Ремонт генератора,4000.00,2500.00,6500.00
001,Иванов И.И.,1,2023-01-21,1021,Борисов Б.Б.,00121,Техническое обслуживание,Suzuki,Swift,Замена свечей,750.00,700.00,1450.00
002,Петров П.П.,2,2023-01-22,1022,Самойлов С.С.,00122,Ремонт,Jaguar,XE,Замена тормозных дисков,3000.00,1800.00,4800.00
003,Сидоров С.С.,3,2023-01-23,1023,Ефимов Е.Е.,00123,Техническое обслуживание,Infiniti,Q50,Замена масла,580.00,1080.00,1660.00
004,Кузнецов К.К.,4,2023-01-24,1024,Денисов Д.Д.,00124,Ремонт,Seat,Leon,Ремонт трансмиссии,6200.00,4600.00,10800.00
001,Иванов И.И.,1,2023-01-25,1025,Герасимов Г.Г.,00125,Техническое обслуживание,Mini,Cooper,Замена фильтра,340.00,540.00,880.00
002,Петров П.П.,2,2023-01-26,1026,Погорелов П.П.,00126,Ремонт,Fiat,500,Замена ремня ГРМ,1600.00,2100.00,3700.00
003,Сидоров С.С.,3,2023-01-27,1027,Макаров М.М.,00127,Техническое обслуживание,Alfa Romeo,Stelvio,Замена масла,540.00,1040.00,1580.00
004,Кузнецов К.К.,4,2023-01-28,1028,Родионов Р.Р.,00128,Ремонт,Tesla,Model 3,Ремонт электроники,7000.00,5000.00,12000.00
001,Иванов И.И.,1,2023-01-29,1029,Савельев С.С.,00129,Техническое обслуживание,Cadillac,ATS,Замена фильтра,370.00,570.00,940.00
002,Петров П.П.,2,2023-01-30,1030,Касьянов К.К.,00130,Ремонт,Land Rover,Discovery,Замена тормозных колодок,1300.00,1600.00,2900.00
003,Сидоров С.С.,3,2023-01-31,1031,Миронов М.М.,00131,Техническое обслуживание,Bugatti,Chiron,Замена масла,650.00,1150.00,1800.00
004,Кузнецов К.К.,4,2023-02-01,1032,Новиков Н.Н.,00132,Ремонт,Porsche,911,Ремонт турбины,9000.00,5500.00,14500.00
001,Иванов И.И.,1,2023-02-02,1033,Русаков Р.Р.,00133,Техническое обслуживание,Lamborghini,Aventador,Замена свечей,950.00,800.00,1750.00
002,Петров П.П.,2,2023-02-03,1034,Зверев З.З.,00134,Ремонт,Ferrari,488,Замена тормозных дисков,3200.00,1900.00,5100.00
003,Сидоров С.С.,3,2023-02-04,1035,Серов С.С.,00135,Техническое обслуживание,Aston Martin,DB11,Замена масла,600.00,1100.00,1700.00
